full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,123603,123603,20384,58,58,10,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18217,18217,15796,10,10,2,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,182297,182297,28086,162,162,29,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2141,2141,5871,0,0,0,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3194,3194,4532,5,5,1,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,60489,60489,9899,18,18,6,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2586,2586,3297,2,2,-1,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9181,9181,14621,1,1,-1,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1681,1681,2516,2,2,-1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1342,1342,2325,1,1,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,43747,43747,3732,32,32,5,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,81,81,7284,0,0,0,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,53045,53045,5304,35,35,6,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,24612,24612,3658,53,53,6,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,33989,33989,2761,10,10,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27281,27281,2778,7,7,3,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,830,830,1182,0,0,2,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,179,179,2275,0,0,0,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3129,3129,3790,-1,-1,0,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,18734,18734,2742,18,18,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19812,19812,2296,13,13,3,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2229,2229,3501,1,1,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7578,7578,1827,2,2,1,https://github.com/anthropics/claude-code-action
