full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,122937,122937,20293,63,63,4,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18114,18114,15772,14,14,1,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,180570,180570,27838,197,197,33,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2133,2133,5865,0,0,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3149,3149,4501,4,4,7,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,60067,60067,9840,41,41,3,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2555,2555,3282,4,4,4,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9168,9168,14616,2,2,1,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1662,1662,2509,4,4,2,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1328,1328,2318,0,0,1,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,81,81,7288,0,0,-1,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,43531,43531,3710,21,21,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,52681,52681,5261,47,47,5,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,24146,24146,3575,76,76,4,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,33873,33873,2753,5,5,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27222,27222,2765,8,8,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,827,827,1174,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,179,179,2275,0,0,0,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3123,3123,3789,2,2,0,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,18526,18526,2706,23,23,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19663,19663,2281,12,12,3,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2226,2226,3499,1,1,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7544,7544,1819,4,4,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10158,10158,1809,7,7,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2427,2427,1602,7,7,2,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9632,9632,1223,2,2,0,https://github.com/diet103/claude-code-infrastructure-showcase
T-Lab-CUHKSZ/claude-code,309,309,605,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
